,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
120,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,3.0
121,"Medium (251 to 1,000 employees)",Female,40 to 54 years,1.0,3.0,3.0,4.0
122,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,1.0,2.0
123,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,2.0,3.0
124,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
125,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,5.0,5.0
126,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,1.0,2.0,2.0
127,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
128,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
129,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,3.0
130,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,4.0
131,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,2.0
132,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
133,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,4.0
134,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,2.0,4.0
135,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
136,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
137,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
138,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,1.0
139,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
140,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,3.0
141,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,2.0
142,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,5.0,5.0
143,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,4.0,5.0
144,Small (Less than 250 employees),Female,40 to 54 years,3.0,1.0,3.0,4.0
145,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
146,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,2.0
147,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
148,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
149,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
150,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,4.0,4.0
151,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,5.0
152,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,3.0
153,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,2.0,4.0
154,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
155,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
156,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
157,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
158,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,3.0,3.0
159,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
160,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
161,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,1.0,4.0
162,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,5.0
163,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
164,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,5.0
165,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
166,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
167,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,1.0,4.0,4.0
168,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
169,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,5.0
170,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,2.0
171,Small (Less than 250 employees),Female,40 to 54 years,5.0,4.0,4.0,4.0
172,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
173,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
174,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
175,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
176,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,2.0,4.0
177,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
178,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
179,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,3.0
180,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
181,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
182,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,2.0,4.0
183,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,5.0,4.0
184,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
185,Small (Less than 250 employees),Male,40 to 54 years,3.0,5.0,4.0,4.0
186,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,3.0,4.0
187,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
188,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,1.0,4.0,2.0
189,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
190,Small (Less than 250 employees),Male,40 to 54 years,3.0,3.0,4.0,3.0
191,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
192,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
193,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
194,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,1.0,4.0
195,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
196,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
197,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,4.0
198,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,2.0,2.0
199,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
200,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,4.0
201,Small (Less than 250 employees),Female,40 to 54 years,3.0,4.0,3.0,5.0
202,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
203,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,2.0
204,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
205,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,3.0,4.0
206,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
207,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
208,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
209,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
210,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
211,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
212,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,3.0,4.0
213,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
214,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
215,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,4.0
216,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
217,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,2.0
218,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,3.0
219,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,3.0
220,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,4.0,4.0
221,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
222,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
223,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,2.0,4.0
224,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
225,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
226,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
227,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
228,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,2.0,4.0
229,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
230,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,1.0,3.0,3.0
231,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
232,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
233,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
234,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,4.0
235,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
236,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,5.0
237,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,5.0
238,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,2.0,4.0,2.0
239,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
240,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,5.0,5.0
241,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,1.0,3.0
242,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,2.0,4.0
243,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
244,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,2.0,4.0
245,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,2.0,4.0,4.0
246,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
247,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,4.0,2.0
248,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,4.0
249,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,5.0,4.0,4.0
250,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,3.0
251,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
252,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
253,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,3.0,4.0
254,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,3.0
255,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
256,Small (Less than 250 employees),Female,40 to 54 years,3.0,3.0,5.0,4.0
257,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,3.0
258,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
259,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
260,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,2.0,3.0
261,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
262,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,1.0,4.0
263,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
264,"Medium (251 to 1,000 employees)",Female,40 to 54 years,1.0,4.0,4.0,4.0
265,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
266,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
267,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,1.0,1.0,3.0
268,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,3.0,3.0
269,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,3.0,4.0
270,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,2.0,3.0,5.0
271,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
272,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
273,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
274,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
275,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
276,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
277,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
278,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,5.0,5.0
279,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
280,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,4.0
281,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,2.0,4.0
282,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,1.0,4.0,4.0
283,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
284,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
285,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
286,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
287,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
288,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
289,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
290,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,3.0
291,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
292,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,3.0,4.0
293,Small (Less than 250 employees),Female,40 to 54 years,4.0,4.0,4.0,4.0
294,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,2.0,2.0
295,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
296,Small (Less than 250 employees),Male,40 to 54 years,3.0,4.0,5.0,5.0
297,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
298,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
299,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,3.0
300,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
301,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
302,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,1.0,3.0,3.0
303,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,2.0
304,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,3.0,4.0
305,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
306,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
307,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,2.0
308,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
309,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
310,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,3.0
311,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,1.0,1.0
312,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,3.0
313,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
314,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,5.0,5.0,5.0
315,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,3.0
316,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
317,"Medium (251 to 1,000 employees)",Male,40 to 54 years,5.0,4.0,3.0,4.0
