,2,1. What is your gender?,2. How old were you at your last birthday?,47a. I have unrealistic time pressures,19a. My supervisor communicates effectively,"17d. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","17e. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
49,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,2.0,2.0
50,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
51,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,2.0
52,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
53,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
54,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,2.0,5.0
55,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
56,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
57,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,3.0
58,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
59,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
60,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
61,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
62,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
63,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
64,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
65,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
66,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,2.0,4.0
67,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
68,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
69,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
70,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
71,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
72,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,1.0
73,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,1.0,2.0
74,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
75,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,3.0
76,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,5.0
77,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,4.0
78,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
79,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,5.0
80,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
81,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,4.0
82,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
83,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
84,Small (Less than 250 employees),Female,40 to 54 years,3.0,5.0,4.0,4.0
85,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,5.0
86,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
87,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
88,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
89,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
90,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,2.0,4.0
91,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,2.0
92,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
93,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
94,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,1.0,4.0,5.0
95,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,3.0,4.0
96,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
97,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
98,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
99,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
100,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
101,Small (Less than 250 employees),Male,40 to 54 years,2.0,4.0,5.0,5.0
102,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
103,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
104,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,3.0,4.0
105,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
106,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,1.0,4.0
107,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
108,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
109,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,3.0
110,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,5.0
111,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,1.0,2.0,5.0
112,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,3.0,2.0
113,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,4.0
114,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
115,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
116,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
117,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
118,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,5.0
119,Small (Less than 250 employees),Female,40 to 54 years,3.0,4.0,2.0,3.0
120,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
121,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,2.0
122,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
123,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
124,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,3.0
125,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,3.0
126,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,5.0
127,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,3.0,2.0
128,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,4.0
129,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,4.0
130,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,3.0,5.0
131,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,4.0
132,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,1.0,4.0
133,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,4.0
134,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,1.0,4.0
135,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,5.0
136,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
137,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,1.0,4.0
138,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
139,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
140,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
141,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
142,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,2.0,4.0,2.0
143,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
144,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
145,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
146,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
147,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
148,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
149,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
150,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
151,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,5.0
152,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,5.0,4.0
153,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,2.0,5.0
154,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
155,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
156,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
157,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,1.0,4.0,4.0
158,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
159,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
160,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
161,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,3.0
162,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
163,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,2.0,2.0
164,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
165,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,2.0
166,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
167,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
168,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
169,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,1.0,3.0
170,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
171,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,3.0,4.0
172,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
173,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,3.0
174,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
175,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
176,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
177,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
178,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
179,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
180,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
181,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
182,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
183,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,4.0
184,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,2.0
185,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
186,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,1.0,2.0,2.0
187,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,5.0
188,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,3.0
189,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
190,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,3.0,1.0
191,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
192,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
193,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,5.0,4.0
194,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,3.0,4.0
195,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
196,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,5.0
197,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,3.0,1.0,2.0
198,Small (Less than 250 employees),Male,40 to 54 years,3.0,5.0,5.0,5.0
199,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
200,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
201,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
202,Small (Less than 250 employees),Female,40 to 54 years,3.0,5.0,4.0,2.0
203,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,3.0,4.0
204,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,4.0
205,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
206,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
207,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
208,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,1.0,3.0
209,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
210,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
211,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,4.0,5.0
212,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
213,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,3.0
214,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,2.0,2.0
215,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
216,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
217,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
218,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
219,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
220,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
221,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
222,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,2.0
223,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
224,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,3.0,4.0
225,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
226,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
227,"Medium (251 to 1,000 employees)",Female,40 to 54 years,2.0,5.0,1.0,4.0
228,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
229,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,4.0,4.0
230,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
231,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
232,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
233,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
234,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,3.0
235,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
236,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,2.0,4.0
237,"Medium (251 to 1,000 employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
238,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
239,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,3.0,3.0
240,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
241,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,5.0
242,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
243,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
244,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,2.0,4.0
245,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
246,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,2.0,5.0
247,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,3.0
248,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,5.0
249,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,1.0,2.0,3.0
250,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
251,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
252,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,1.0,2.0
253,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,3.0,5.0
254,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
255,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,4.0,4.0
256,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
257,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
258,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
259,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
260,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
261,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,3.0
262,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
263,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
264,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
265,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
266,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
267,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
268,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,3.0
269,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
270,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
271,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
272,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
273,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,2.0
274,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
275,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,4.0
276,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,1.0,2.0
277,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
278,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
279,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
280,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
281,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
282,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
283,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,5.0,5.0
284,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,5.0,5.0
285,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,5.0,5.0
286,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
287,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,4.0
288,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
289,"Medium (251 to 1,000 employees)",Female,40 to 54 years,1.0,5.0,1.0,3.0
290,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
291,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,3.0,3.0
292,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,3.0,4.0
293,Small (Less than 250 employees),Female,40 to 54 years,2.0,5.0,1.0,5.0
294,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
295,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
296,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
297,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,4.0,4.0
298,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,5.0
299,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,2.0
300,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,1.0,2.0,3.0
301,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
302,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,4.0
303,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
304,"Medium (251 to 1,000 employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
305,Small (Less than 250 employees),Female,40 to 54 years,4.0,4.0,4.0,4.0
306,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
307,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,5.0,4.0,2.0
308,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
309,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
310,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,2.0,5.0
311,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,3.0
312,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
313,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,3.0
314,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
315,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
316,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,5.0,5.0
